,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
35,Machinery,272319888399.54382,3330,Manufacturing,-0.09257,0.34807,0.27075,0.46838,0.57409,0.55557,corporate,0.46578,2020
36,Computer and electronic products,503974938260.14197,3340,Manufacturing,-0.18718,0.32274,0.23649,0.42235,0.55755,0.53469,corporate,0.59129,2020
37,"Electrical equipment, appliances, and components",97409347474.36090,3350,Manufacturing,-0.08683,0.34945,0.27271,0.47118,0.57500,0.55676,corporate,0.39817,2020
38,"Motor vehicles, bodies and trailers, and parts",238664334579.08081,336M,Manufacturing,-0.11569,0.34225,0.26268,0.45714,0.57029,0.55065,corporate,0.50808,2020
39,Other transportation equipment,222225359206.36774,336O,Manufacturing,-0.08071,0.35095,0.27484,0.47415,0.57598,0.55806,corporate,0.38653,2020
40,Furniture and related products,27298970228.61856,3370,Manufacturing,-0.07991,0.35242,0.27624,0.47454,0.57694,0.55891,corporate,0.41218,2020
41,Miscellaneous manufacturing,132809342156.87767,338A,Manufacturing,-0.10982,0.34272,0.26380,0.45999,0.57060,0.55133,corporate,0.46717,2020
42,Oil and gas extraction,1206378883391.49341,2110,Mining,-0.09375,0.34995,0.27228,0.46781,0.57532,0.55650,corporate,0.58703,2020
43,"Mining, except oil and gas",190223523011.70444,2120,Mining,-0.08695,0.35165,0.27466,0.47112,0.57643,0.55795,corporate,0.42548,2020
44,Support activities for mining,120225750260.04312,2130,Mining,-0.09137,0.35043,0.27301,0.46897,0.57563,0.55695,corporate,0.60207,2020
45,"Other services, except government",227393671623.35632,8100,"Other services, except government",-0.09861,0.34832,0.27022,0.46545,0.57426,0.55524,corporate,0.34653,2020
46,Legal services,20028299848.35870,5411,"Professional, scientific, and technical services",-0.09856,0.34857,0.27046,0.46547,0.57442,0.55539,corporate,0.49829,2020
47,"Miscellaneous professional, scientific, and technical services",249009155858.66895,5412,"Professional, scientific, and technical services",-0.16319,0.32904,0.24499,0.43402,0.56166,0.53987,corporate,0.62578,2020
48,Computer systems design and related services,42903264706.01630,5415,"Professional, scientific, and technical services",-0.16320,0.33024,0.24611,0.43402,0.56244,0.54055,corporate,0.61504,2020
49,Real estate,2545926858991.70166,5310,Real estate and rental and leasing,-0.09320,0.35012,0.27251,0.46808,0.57543,0.55664,corporate,0.06752,2020
50,Rental and leasing services and lessors of intangible assets,248115752511.19281,5320,Real estate and rental and leasing,-0.09254,0.35027,0.27272,0.46840,0.57553,0.55677,corporate,0.66400,2020
51,Retail trade,1608593250069.83716,44RT,Retail trade,-0.06228,0.35783,0.28332,0.48313,0.58047,0.56323,corporate,0.26425,2020
52,Air transportation,190656778827.51108,4810,Transportation and warehousing,-0.09285,0.35018,0.27261,0.46825,0.57547,0.55670,corporate,0.56302,2020
53,Railroad transportation,331353541688.74603,4820,Transportation and warehousing,-0.09359,0.35001,0.27236,0.46789,0.57536,0.55655,corporate,0.33984,2020
54,Water transportation,36714023795.72885,4830,Transportation and warehousing,-0.09278,0.35021,0.27264,0.46828,0.57549,0.55672,corporate,0.53974,2020
55,Truck transportation,108471874448.41913,4840,Transportation and warehousing,-0.09376,0.34993,0.27227,0.46781,0.57531,0.55649,corporate,0.62503,2020
56,Transit and ground passenger transportation,35034660346.81857,4850,Transportation and warehousing,-0.09354,0.35003,0.27238,0.46792,0.57537,0.55656,corporate,0.49094,2020
57,Pipeline transportation,169678725931.23572,4860,Transportation and warehousing,-0.09374,0.34998,0.27231,0.46782,0.57534,0.55652,corporate,0.46654,2020
58,Other transportation and support activities,110872018728.69969,487S,Transportation and warehousing,-0.09352,0.34995,0.27232,0.46792,0.57532,0.55652,corporate,0.44501,2020
59,Warehousing and storage,33575803409.08718,4930,Transportation and warehousing,-0.09264,0.35020,0.27265,0.46835,0.57548,0.55672,corporate,0.35967,2020
60,Utilities,2043224620805.23413,2200,Utilities,-0.09274,0.35022,0.27265,0.46830,0.57550,0.55673,corporate,0.40961,2020
61,Wholesale trade,973137443869.54004,4200,Wholesale trade,-0.03275,0.36522,0.29373,0.49749,0.58530,0.56957,corporate,0.27086,2020
62,Accommodation,321835229078.42981,7210,Accommodation and food services,-0.22899,0.29909,0.18666,0.59424,0.39713,0.43910,non-corporate,0.31786,2020
63,Food services and drinking places,131618330780.63083,7220,Accommodation and food services,-0.22631,0.30008,0.18794,0.59512,0.39798,0.43998,non-corporate,0.47762,2020
64,Administrative and support services,87779837155.20003,5610,Administrative and waste management services,-0.26419,0.28539,0.16920,0.58262,0.38535,0.42706,non-corporate,0.64366,2020
65,Waste management and remediation services,45442362954.20710,5620,Administrative and waste management services,-0.22876,0.29915,0.18675,0.59432,0.39718,0.43916,non-corporate,0.45594,2020
66,Farms,695254770987.64185,110C,"Agriculture, forestry, fishing, and hunting",-0.18968,0.31378,0.20564,0.60722,0.40976,0.45219,non-corporate,0.26219,2020
67,"Forestry, fishing, and related activities",182890160760.91397,113F,"Agriculture, forestry, fishing, and hunting",-0.22701,0.29983,0.18762,0.59489,0.39777,0.43976,non-corporate,0.14742,2020
68,"Performing arts, spectator sports, museums, and related activities",85913620169.68947,711A,"Arts, entertainment, and recreation",-0.29004,0.27479,0.15589,0.57408,0.37623,0.41788,non-corporate,0.54447,2020
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.22798,0.29947,0.18714,0.59457,0.39745,0.43943,non-corporate,0.39735,2020
70,Construction,416883328410.43872,2300,Construction,-0.21728,0.30341,0.19226,0.59811,0.40084,0.44296,non-corporate,0.30565,2020
71,Educational services,223504007264.40912,6100,Educational services,-0.23923,0.29504,0.18152,0.59086,0.39364,0.43555,non-corporate,0.42474,2020
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.22504,0.30045,0.18846,0.59554,0.39830,0.44034,non-corporate,0.56116,2020
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.22549,0.30019,0.18816,0.59539,0.39808,0.44013,non-corporate,0.24357,2020
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.25123,0.29039,0.17558,0.58690,0.38965,0.43146,non-corporate,0.52277,2020
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.22864,0.29922,0.18683,0.59435,0.39724,0.43921,non-corporate,0.28752,2020
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.23253,0.29766,0.18486,0.59307,0.39590,0.43785,non-corporate,0.56019,2020
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.23278,0.29759,0.18475,0.59299,0.39584,0.43778,non-corporate,0.45416,2020
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.23149,0.29810,0.18540,0.59341,0.39628,0.43823,non-corporate,0.47219,2020
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.23141,0.29811,0.18542,0.59344,0.39628,0.43824,non-corporate,0.43290,2020
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.32284,0.26199,0.13962,0.56325,0.36522,0.40666,non-corporate,0.58147,2020
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.34917,0.25056,0.12551,0.55456,0.35539,0.39692,non-corporate,0.66878,2020
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.24638,0.29206,0.17779,0.58850,0.39108,0.43298,non-corporate,0.53381,2020
83,Information and data processing services,9622690880.85332,5140,Information,-0.32805,0.26090,0.13791,0.56153,0.36428,0.40548,non-corporate,0.71319,2020
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.25309,0.28967,0.17466,0.58628,0.38902,0.43082,non-corporate,0.43969,2020
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.19768,0.31042,0.20144,0.60458,0.40687,0.44929,non-corporate,0.41873,2020
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.20823,0.30657,0.19643,0.60109,0.40357,0.44584,non-corporate,0.47192,2020
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.17945,0.31727,0.21029,0.61059,0.41276,0.45539,non-corporate,0.33342,2020
88,Wood products,13100141973.28175,3210,Manufacturing,-0.20736,0.30684,0.19680,0.60138,0.40380,0.44609,non-corporate,0.40372,2020
89,Paper products,18990987477.15243,3220,Manufacturing,-0.22132,0.30133,0.18979,0.59677,0.39905,0.44126,non-corporate,0.52512,2020
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.23441,0.29633,0.18338,0.59245,0.39475,0.43683,non-corporate,0.57639,2020
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.20792,0.30668,0.19658,0.60119,0.40366,0.44594,non-corporate,0.34310,2020
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.27797,0.27791,0.16043,0.57807,0.37891,0.42101,non-corporate,0.57166,2020
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.20945,0.30561,0.19539,0.60069,0.40274,0.44511,non-corporate,0.47826,2020
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.21579,0.30364,0.19269,0.59860,0.40105,0.44325,non-corporate,0.40250,2020
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.19528,0.31151,0.20278,0.60537,0.40781,0.45021,non-corporate,0.45531,2020
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.20326,0.30827,0.19869,0.60273,0.40503,0.44739,non-corporate,0.48667,2020
97,Machinery,44994036766.64782,3330,Manufacturing,-0.21341,0.30371,0.19310,0.59938,0.40111,0.44354,non-corporate,0.45299,2020
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.33221,0.25898,0.13557,0.56016,0.36263,0.40387,non-corporate,0.62750,2020
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.21026,0.30482,0.19456,0.60042,0.40206,0.44454,non-corporate,0.40290,2020
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.24516,0.29186,0.17779,0.58890,0.39091,0.43298,non-corporate,0.51813,2020
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.20254,0.30776,0.19834,0.60297,0.40458,0.44715,non-corporate,0.37374,2020
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.20638,0.30692,0.19701,0.60170,0.40386,0.44624,non-corporate,0.43972,2020
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.23411,0.29537,0.18255,0.59255,0.39393,0.43626,non-corporate,0.47236,2020
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.22957,0.29887,0.18637,0.59405,0.39694,0.43890,non-corporate,0.65773,2020
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.22494,0.30058,0.18859,0.59558,0.39841,0.44043,non-corporate,0.44739,2020
106,Support activities for mining,25044165259.49403,2130,Mining,-0.22866,0.29913,0.18675,0.59435,0.39717,0.43916,non-corporate,0.65951,2020
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.23655,0.29602,0.18279,0.59174,0.39449,0.43643,non-corporate,0.42404,2020
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.23488,0.29680,0.18374,0.59230,0.39516,0.43708,non-corporate,0.55350,2020
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.31313,0.26606,0.14469,0.56646,0.36872,0.41015,non-corporate,0.67838,2020
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.31211,0.26725,0.14593,0.56680,0.36974,0.41101,non-corporate,0.66063,2020
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.22848,0.29929,0.18691,0.59441,0.39730,0.43927,non-corporate,0.08202,2020
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.22728,0.29972,0.18748,0.59480,0.39767,0.43966,non-corporate,0.70779,2020
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.16611,0.32270,0.21715,0.61500,0.41744,0.46012,non-corporate,0.23760,2020
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.22802,0.29944,0.18711,0.59456,0.39743,0.43941,non-corporate,0.63286,2020
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.22909,0.29906,0.18661,0.59421,0.39710,0.43906,non-corporate,0.41096,2020
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.22797,0.29947,0.18715,0.59458,0.39745,0.43943,non-corporate,0.60960,2020
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.22915,0.29901,0.18656,0.59419,0.39706,0.43903,non-corporate,0.68441,2020
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.22885,0.29915,0.18673,0.59429,0.39718,0.43914,non-corporate,0.55972,2020
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.22930,0.29898,0.18651,0.59414,0.39703,0.43900,non-corporate,0.54114,2020
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.22863,0.29918,0.18679,0.59436,0.39721,0.43919,non-corporate,0.51060,2020
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.22840,0.29928,0.18691,0.59443,0.39729,0.43927,non-corporate,0.43376,2020
122,Utilities,110848021471.32501,2200,Utilities,-0.22809,0.29942,0.18709,0.59454,0.39742,0.43939,non-corporate,0.47832,2020
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.14134,0.33215,0.22932,0.62318,0.42556,0.46851,non-corporate,0.20218,2020
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.09206,0.35039,0.27290,0.46864,0.57561,0.55688,corporate,0.27676,2020
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.11177,0.34468,0.26533,0.45904,0.57188,0.55226,corporate,0.51045,2020
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.05879,0.35882,0.28464,0.48482,0.58111,0.56403,corporate,0.26262,2020
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.11514,0.34329,0.26366,0.45740,0.57097,0.55125,corporate,0.39501,2020
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.10121,0.34775,0.26938,0.46418,0.57388,0.55474,corporate,0.50495,2020
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.09647,0.34913,0.27121,0.46649,0.57478,0.55585,corporate,0.41242,2020
132,Information,1889701924722.87842,,Information,-0.13520,0.33704,0.25557,0.44764,0.56689,0.54632,corporate,0.52482,2020
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.11571,0.34362,0.26389,0.45712,0.57118,0.55139,corporate,0.37802,2020
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.10951,0.34344,0.26449,0.46014,0.57107,0.55175,corporate,0.46863,2020
135,Mining,1516828156663.24072,,Mining,-0.09271,0.35020,0.27264,0.46832,0.57549,0.55672,corporate,0.56796,2020
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.09861,0.34832,0.27022,0.46545,0.57426,0.55524,corporate,0.34653,2020
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.15881,0.33049,0.24683,0.43615,0.56261,0.54099,corporate,0.61611,2020
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.09314,0.35013,0.27253,0.46811,0.57544,0.55665,corporate,0.12049,2020
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.09342,0.35004,0.27240,0.46797,0.57538,0.55658,corporate,0.45785,2020
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.22821,0.29938,0.18703,0.59450,0.39738,0.43935,non-corporate,0.36423,2020
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.25187,0.29015,0.17527,0.58668,0.38944,0.43124,non-corporate,0.57963,2020
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.19726,0.31092,0.20196,0.60471,0.40731,0.44965,non-corporate,0.23829,2020
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.25530,0.28851,0.17329,0.58555,0.38803,0.42988,non-corporate,0.46392,2020
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.22752,0.29946,0.18721,0.59472,0.39745,0.43947,non-corporate,0.34609,2020
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.23258,0.29766,0.18485,0.59305,0.39590,0.43785,non-corporate,0.47888,2020
151,Information,167179370661.11032,,Information,-0.27449,0.28069,0.16346,0.57922,0.38130,0.42309,non-corporate,0.57350,2020
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.25309,0.28967,0.17466,0.58628,0.38902,0.43082,non-corporate,0.43969,2020
153,Manufacturing,649562708068.65234,,Manufacturing,-0.23794,0.29426,0.18100,0.59129,0.39298,0.43519,non-corporate,0.49113,2020
154,Mining,317661770013.00690,,Mining,-0.22887,0.29912,0.18670,0.59428,0.39715,0.43912,non-corporate,0.62969,2020
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.23655,0.29602,0.18279,0.59174,0.39449,0.43643,non-corporate,0.42404,2020
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.30642,0.26874,0.14808,0.56868,0.37102,0.41249,non-corporate,0.66642,2020
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.22846,0.29929,0.18692,0.59441,0.39730,0.43928,non-corporate,0.09332,2020
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.22879,0.29915,0.18674,0.59430,0.39718,0.43915,non-corporate,0.53030,2020
162,Overall,20307631130712.19531,,Overall,-0.09605,0.34847,0.27067,0.46669,0.57435,0.55552,corporate,0.38918,2020
163,Overall,17036588869287.80469,,Overall,-0.22533,0.30029,0.18828,0.59545,0.39816,0.44021,non-corporate,0.21377,2020
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.09298,0.35017,0.27258,0.46914,0.57515,0.55659,corporate,0.21358,2021
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.09070,0.35073,0.27337,0.47025,0.57552,0.55707,corporate,0.36974,2021
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.12406,0.34115,0.26066,0.45404,0.56926,0.54932,corporate,0.59792,2021
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.09345,0.35001,0.27238,0.46891,0.57505,0.55647,corporate,0.37635,2021
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.05605,0.35952,0.28563,0.48708,0.58127,0.56454,corporate,0.26026,2021
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.08842,0.35131,0.27417,0.47135,0.57590,0.55756,corporate,0.28726,2021
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.14480,0.33429,0.25193,0.44397,0.56477,0.54400,corporate,0.47021,2021
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.09318,0.35011,0.27250,0.46904,0.57512,0.55654,corporate,0.33671,2021
8,Construction,167674309864.62842,2300,Construction,-0.06873,0.35620,0.28104,0.48092,0.57910,0.56175,corporate,0.35497,2021
9,Educational services,321852356259.17963,6100,Educational services,-0.10229,0.34739,0.26893,0.46461,0.57334,0.55437,corporate,0.35453,2021
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.09779,0.34878,0.27074,0.46680,0.57425,0.55547,corporate,0.55063,2021
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.09845,0.34832,0.27024,0.46648,0.57394,0.55517,corporate,0.30910,2021
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.11431,0.34396,0.26437,0.45878,0.57109,0.55159,corporate,0.49445,2021
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.09362,0.35000,0.27235,0.46883,0.57505,0.55645,corporate,0.25994,2021
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.09645,0.34911,0.27119,0.46745,0.57446,0.55575,corporate,0.49098,2021
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.09670,0.34907,0.27113,0.46733,0.57444,0.55571,corporate,0.38451,2021
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.09560,0.34941,0.27157,0.46787,0.57465,0.55598,corporate,0.40061,2021
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.09459,0.34960,0.27187,0.46836,0.57478,0.55616,corporate,0.38508,2021
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.18798,0.32170,0.23541,0.42299,0.55654,0.53393,corporate,0.59557,2021
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.19985,0.31618,0.22895,0.41723,0.55293,0.53000,corporate,0.61753,2021
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.11049,0.34478,0.26557,0.46063,0.57163,0.55232,corporate,0.47788,2021
21,Information and data processing services,118194411065.82817,5140,Information,-0.18267,0.32445,0.23856,0.42557,0.55834,0.53585,corporate,0.69818,2021
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.11571,0.34362,0.26389,0.45810,0.57087,0.55130,corporate,0.37802,2021
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.07350,0.35441,0.27883,0.47860,0.57793,0.56040,corporate,0.41208,2021
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.07966,0.35309,0.27687,0.47561,0.57706,0.55921,corporate,0.43664,2021
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.04567,0.36156,0.28878,0.49212,0.58260,0.56647,corporate,0.29616,2021
26,Wood products,45996624948.83839,3210,Manufacturing,-0.07467,0.35427,0.27856,0.47803,0.57784,0.56024,corporate,0.36274,2021
27,Paper products,129541595783.22841,3220,Manufacturing,-0.09214,0.34933,0.27193,0.46954,0.57461,0.55620,corporate,0.49110,2021
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.10288,0.34642,0.26798,0.46433,0.57270,0.55379,corporate,0.53368,2021
29,Petroleum and coal products,329428097154.64099,3240,Manufacturing,-0.07922,0.35324,0.27706,0.47582,0.57716,0.55932,corporate,0.28997,2021
