,Industry,assets,bea_ind_code,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,tax_treat,z_mix,year
69,"Amusements, gambling, and recreation industries",103963170328.02748,7130,"Arts, entertainment, and recreation",-0.33095,0.11015,0.02607,0.18444,0.11015,0.12417,non-corporate,0.63957,2020
70,Construction,416883328410.43872,2300,Construction,-0.25371,0.16113,0.08208,0.23177,0.16113,0.17454,non-corporate,0.38530,2020
71,Educational services,223504007264.40912,6100,Educational services,-0.22779,0.18013,0.10190,0.24765,0.18013,0.19237,non-corporate,0.45262,2020
72,Credit intermediation and related activities,75859556179.32388,5220,Finance and insurance,-0.29467,0.13105,0.04947,0.20667,0.13105,0.14521,non-corporate,0.62657,2020
73,"Securities, commodity contracts, and investments",178435565512.12598,5230,Finance and insurance,-0.19501,0.19986,0.12444,0.26774,0.19986,0.21263,non-corporate,0.24463,2020
74,Insurance carriers and related activities,22117554582.45041,5240,Finance and insurance,-0.26461,0.15511,0.07488,0.22509,0.15511,0.16807,non-corporate,0.52781,2020
75,"Funds, trusts, and other financial vehicles",32975922704.13087,5250,Finance and insurance,-0.15710,0.22199,0.14911,0.29097,0.22199,0.23482,non-corporate,0.24514,2020
76,Ambulatory health care services,165185547974.24033,6210,Health care and social assistance,-0.28297,0.14011,0.05898,0.21384,0.14011,0.15377,non-corporate,0.61386,2020
77,Hospitals,468739962062.38196,622H,Health care and social assistance,-0.24502,0.16774,0.08860,0.23710,0.16774,0.18040,non-corporate,0.49635,2020
78,Nursing and residential care facilities,44969311543.58502,6230,Health care and social assistance,-0.24326,0.16688,0.08809,0.23817,0.16688,0.17995,non-corporate,0.52404,2020
79,Social assistance,33500693280.57160,6240,Health care and social assistance,-0.24309,0.16659,0.08800,0.23828,0.16659,0.17986,non-corporate,0.49703,2020
80,Publishing industries (including software),10531454693.94330,5110,Information,-0.44115,0.06254,-0.03137,0.11691,0.06254,0.07251,non-corporate,0.66623,2020
81,Motion picture and sound recording industries,32648570359.12500,5120,Information,-0.60382,-0.03137,-0.13697,0.01723,-0.03137,-0.02245,non-corporate,0.88781,2020
82,Broadcasting and telecommunications,114376654727.18872,5130,Information,-0.45983,0.03131,-0.06168,0.10547,0.03131,0.04526,non-corporate,0.88540,2020
83,Information and data processing services,9622690880.85332,5140,Information,-0.52780,0.01190,-0.08824,0.06381,0.01190,0.02138,non-corporate,0.83094,2020
84,Management of companies and enterprises,90403382554.93427,5500,Management of companies and enterprises,-0.23859,0.17321,0.09456,0.24104,0.17321,0.18576,non-corporate,0.43319,2020
85,"Food, beverage, and tobacco products",75311838089.52502,311A,Manufacturing,-0.23719,0.16385,0.08672,0.24189,0.16385,0.17871,non-corporate,0.47396,2020
86,Textile mills and textile product mills,7854948624.08660,313T,Manufacturing,-0.22109,0.17339,0.09730,0.25176,0.17339,0.18823,non-corporate,0.49616,2020
87,Apparel and leather and allied products,5338390836.47052,315A,Manufacturing,-0.17538,0.20129,0.12848,0.27977,0.20129,0.21626,non-corporate,0.34161,2020
88,Wood products,13100141973.28175,3210,Manufacturing,-0.21806,0.17730,0.10125,0.25361,0.17730,0.19178,non-corporate,0.43186,2020
89,Paper products,18990987477.15243,3220,Manufacturing,-0.30466,0.12368,0.04171,0.20055,0.12368,0.13823,non-corporate,0.62068,2020
90,Printing and related support activities,7652157518.94444,3230,Manufacturing,-0.31853,0.11622,0.03311,0.19205,0.11622,0.13050,non-corporate,0.65910,2020
91,Petroleum and coal products,36804972258.67471,3240,Manufacturing,-0.23824,0.16727,0.08964,0.24125,0.16727,0.18134,non-corporate,0.40579,2020
92,Chemical products,155956627359.31982,3250,Manufacturing,-0.42355,0.06118,-0.03015,0.12769,0.06118,0.07362,non-corporate,0.71701,2020
93,Plastics and rubber products,18759113940.69875,3260,Manufacturing,-0.28078,0.13784,0.05761,0.21518,0.13784,0.15254,non-corporate,0.55672,2020
94,Nonmetallic mineral products,17930326841.81076,3270,Manufacturing,-0.24816,0.16086,0.08253,0.23517,0.16086,0.17494,non-corporate,0.45462,2020
95,Primary metals,31384946425.19739,3310,Manufacturing,-0.24504,0.15734,0.07985,0.23708,0.15734,0.17253,non-corporate,0.52294,2020
96,Fabricated metal products,33868174282.10670,3320,Manufacturing,-0.27153,0.14208,0.06264,0.22085,0.14208,0.15706,non-corporate,0.56212,2020
97,Machinery,44994036766.64782,3330,Manufacturing,-0.28402,0.13781,0.05716,0.21320,0.13781,0.15213,non-corporate,0.52593,2020
98,Computer and electronic products,67202508360.48989,3340,Manufacturing,-0.45155,0.05812,-0.03672,0.11054,0.05812,0.06770,non-corporate,0.69389,2020
99,"Electrical equipment, appliances, and components",13457767002.51348,3350,Manufacturing,-0.25349,0.15716,0.07853,0.23190,0.15716,0.17134,non-corporate,0.45311,2020
100,"Motor vehicles, bodies and trailers, and parts",37968439963.23032,336M,Manufacturing,-0.33289,0.11350,0.02880,0.18325,0.11350,0.12662,non-corporate,0.58902,2020
101,Other transportation equipment,37605705698.38089,336O,Manufacturing,-0.24267,0.16375,0.08591,0.23853,0.16375,0.17799,non-corporate,0.41454,2020
102,Furniture and related products,3398491339.27717,3370,Manufacturing,-0.23554,0.16580,0.08863,0.24290,0.16580,0.18043,non-corporate,0.47535,2020
103,Miscellaneous manufacturing,21983133310.84389,338A,Manufacturing,-0.30581,0.12785,0.04528,0.19984,0.12785,0.14144,non-corporate,0.53763,2020
104,Oil and gas extraction,250060628349.19983,2110,Mining,-0.46172,0.02475,-0.06773,0.10431,0.02475,0.03982,non-corporate,0.93838,2020
105,"Mining, except oil and gas",42556976404.31303,2120,Mining,-0.32888,0.11049,0.02670,0.18571,0.11049,0.12474,non-corporate,0.63894,2020
106,Support activities for mining,25044165259.49403,2130,Mining,-0.44060,0.03882,-0.05233,0.11725,0.03882,0.05367,non-corporate,0.88634,2020
107,"Other services, except government",434659499245.13385,8100,"Other services, except government",-0.26017,0.15876,0.07853,0.22781,0.15876,0.17135,non-corporate,0.51765,2020
108,Legal services,24694671278.72603,5411,"Professional, scientific, and technical services",-0.26947,0.14848,0.06832,0.22211,0.14848,0.16217,non-corporate,0.58125,2020
109,"Miscellaneous professional, scientific, and technical services",250145961932.30286,5412,"Professional, scientific, and technical services",-0.46571,0.04385,-0.05143,0.10186,0.04385,0.05448,non-corporate,0.77449,2020
110,Computer systems design and related services,34987856978.61507,5415,"Professional, scientific, and technical services",-0.42394,0.07037,-0.02221,0.12746,0.07037,0.08076,non-corporate,0.71186,2020
111,Real estate,10194541073775.74609,5310,Real estate and rental and leasing,-0.17342,0.21771,0.14326,0.28097,0.21771,0.22956,non-corporate,0.09763,2020
112,Rental and leasing services and lessors of intangible assets,187611316433.48492,5320,Real estate and rental and leasing,-0.44603,0.03534,-0.05615,0.11392,0.03534,0.05023,non-corporate,0.89448,2020
113,Retail trade,599107994983.75305,44RT,Retail trade,-0.14750,0.21958,0.14858,0.29685,0.21958,0.23434,non-corporate,0.23653,2020
114,Air transportation,47796425035.38664,4810,Transportation and warehousing,-0.39537,0.06701,-0.02121,0.14497,0.06701,0.08166,non-corporate,0.83098,2020
115,Railroad transportation,83039763587.38625,4820,Transportation and warehousing,-0.48319,0.01196,-0.08200,0.09115,0.01196,0.02699,non-corporate,0.95940,2020
116,Water transportation,9217710064.27329,4830,Transportation and warehousing,-0.41771,0.05287,-0.03677,0.13127,0.05287,0.06766,non-corporate,0.86074,2020
117,Truck transportation,37317255861.79116,4840,Transportation and warehousing,-0.39135,0.06971,-0.01816,0.14743,0.06971,0.08440,non-corporate,0.80375,2020
118,Transit and ground passenger transportation,10233125938.19117,4850,Transportation and warehousing,-0.29566,0.13042,0.04869,0.20606,0.13042,0.14451,non-corporate,0.65268,2020
119,Pipeline transportation,33708295455.53726,4860,Transportation and warehousing,-0.46281,0.02418,-0.06841,0.10364,0.02418,0.03920,non-corporate,0.94321,2020
120,Other transportation and support activities,34235605978.45628,487S,Transportation and warehousing,-0.38940,0.07177,-0.01611,0.14862,0.07177,0.08624,non-corporate,0.79566,2020
121,Warehousing and storage,15189477206.63352,4930,Transportation and warehousing,-0.21406,0.18413,0.10755,0.25606,0.18413,0.19744,non-corporate,0.44856,2020
122,Utilities,110848021471.32501,2200,Utilities,-0.47714,0.01540,-0.07813,0.09486,0.01540,0.03047,non-corporate,0.95414,2020
123,Wholesale trade,387578651034.95862,4200,Wholesale trade,-0.15012,0.21516,0.14445,0.29524,0.21516,0.23062,non-corporate,0.22353,2020
124,Accommodation and food services,422338947685.42126,,Accommodation and food services,-0.11061,0.18619,0.12435,0.20127,0.28274,0.26560,corporate,0.30577,2020
125,Administrative and waste management services,175956964100.01053,,Administrative and waste management services,-0.28031,0.07205,-0.00059,0.07923,0.18215,0.16082,corporate,0.74363,2020
126,"Agriculture, forestry, fishing, and hunting",393953898677.15161,,"Agriculture, forestry, fishing, and hunting",-0.18981,0.12709,0.06134,0.14431,0.23066,0.21275,corporate,0.49542,2020
127,"Arts, entertainment, and recreation",183023311190.91339,,"Arts, entertainment, and recreation",-0.26523,0.08388,0.01198,0.09007,0.19257,0.17136,corporate,0.67379,2020
130,Finance and insurance,1136731001700.34302,,Finance and insurance,-0.19804,0.12528,0.05805,0.13839,0.22906,0.21000,corporate,0.60379,2020
131,Health care and social assistance,742735906772.80237,,Health care and social assistance,-0.16608,0.14951,0.08373,0.16138,0.25041,0.23154,corporate,0.51278,2020
132,Information,1889701924722.87842,,Information,-0.37177,0.01496,-0.06405,0.01345,0.13183,0.10759,corporate,0.88380,2020
133,Management of companies and enterprises,424413204161.25208,,Management of companies and enterprises,-0.15346,0.16096,0.09575,0.17045,0.26051,0.24162,corporate,0.41492,2020
134,Manufacturing,3957731403454.22363,,Manufacturing,-0.23826,0.10145,0.03141,0.10947,0.20806,0.18765,corporate,0.60033,2020
135,Mining,1516828156663.24072,,Mining,-0.32901,0.03145,-0.04303,0.04421,0.14637,0.12522,corporate,0.90758,2020
136,"Other services, except government",227393671623.35632,,"Other services, except government",-0.16781,0.14999,0.08382,0.16013,0.25084,0.23161,corporate,0.48808,2020
137,"Professional, scientific, and technical services",311940720413.04395,,"Professional, scientific, and technical services",-0.32900,0.05083,-0.02659,0.04421,0.16344,0.13901,corporate,0.75113,2020
138,Real estate and rental and leasing,2794042611502.89404,,Real estate and rental and leasing,-0.11349,0.18985,0.12711,0.19920,0.28597,0.26791,corporate,0.16856,2020
140,Transportation and warehousing,1016357427176.24634,,Transportation and warehousing,-0.30978,0.04552,-0.02796,0.05803,0.15877,0.13786,corporate,0.86487,2020
143,Accommodation and food services,453453559859.06067,,Accommodation and food services,-0.18402,0.20275,0.12838,0.27447,0.20275,0.21617,non-corporate,0.34328,2020
144,Administrative and waste management services,133222200109.40714,,Administrative and waste management services,-0.38962,0.07746,-0.01113,0.14849,0.07746,0.09072,non-corporate,0.75100,2020
145,"Agriculture, forestry, fishing, and hunting",878144931748.55566,,"Agriculture, forestry, fishing, and hunting",-0.25155,0.15922,0.08075,0.23309,0.15922,0.17335,non-corporate,0.39346,2020
146,"Arts, entertainment, and recreation",189876790497.71692,,"Arts, entertainment, and recreation",-0.37553,0.08781,0.00001,0.15712,0.08781,0.10074,non-corporate,0.68990,2020
149,Finance and insurance,309388598978.03119,,Finance and insurance,-0.21855,0.18339,0.10650,0.25332,0.18339,0.19650,non-corporate,0.35857,2020
150,Health care and social assistance,712395514860.77893,,Health care and social assistance,-0.25341,0.16138,0.08184,0.23195,0.16138,0.17432,non-corporate,0.52538,2020
151,Information,167179370661.11032,,Information,-0.48852,0.02063,-0.07510,0.08788,0.02063,0.03319,non-corporate,0.86893,2020
152,Management of companies and enterprises,90403382554.93427,,Management of companies and enterprises,-0.23859,0.17321,0.09456,0.24104,0.17321,0.18576,non-corporate,0.43319,2020
153,Manufacturing,649562708068.65234,,Manufacturing,-0.31622,0.12133,0.03804,0.19346,0.12133,0.13493,non-corporate,0.57344,2020
154,Mining,317661770013.00690,,Mining,-0.44076,0.03828,-0.05283,0.11715,0.03828,0.05322,non-corporate,0.89416,2020
155,"Other services, except government",434659499245.13385,,"Other services, except government",-0.26017,0.15876,0.07853,0.22781,0.15876,0.17135,non-corporate,0.51765,2020
156,"Professional, scientific, and technical services",309828490189.64392,,"Professional, scientific, and technical services",-0.44315,0.05614,-0.03745,0.11569,0.05614,0.06705,non-corporate,0.75201,2020
157,Real estate and rental and leasing,10382152390209.22852,,Real estate and rental and leasing,-0.17743,0.21503,0.14033,0.27851,0.21503,0.22692,non-corporate,0.11203,2020
159,Transportation and warehousing,270737659127.65555,,Transportation and warehousing,-0.41261,0.05644,-0.03291,0.13440,0.05644,0.07114,non-corporate,0.84894,2020
162,Overall,20307631130712.19531,,Overall,-0.22050,0.11125,0.04260,0.12224,0.21670,0.19704,corporate,0.58776,2020
163,Overall,17036588869287.80469,,Overall,-0.21190,0.19048,0.11376,0.25739,0.19048,0.20303,non-corporate,0.26445,2020
0,Accommodation,251468386854.07248,7210,Accommodation and food services,-0.08723,0.20319,0.14269,0.21873,0.29750,0.28093,corporate,0.21142,2021
1,Food services and drinking places,170870560831.34879,7220,Accommodation and food services,-0.14691,0.15980,0.09590,0.17585,0.25924,0.24169,corporate,0.44461,2021
2,Administrative and support services,106492097792.69568,5610,Administrative and waste management services,-0.28440,0.07257,-0.00086,0.07705,0.18233,0.16054,corporate,0.73370,2021
3,Waste management and remediation services,69464866307.31482,5620,Administrative and waste management services,-0.27408,0.07126,-0.00017,0.08446,0.18118,0.16111,corporate,0.75884,2021
4,Farms,359601192714.82739,110C,"Agriculture, forestry, fishing, and hunting",-0.19120,0.12556,0.05981,0.14402,0.22905,0.21142,corporate,0.50322,2021
5,"Forestry, fishing, and related activities",34352705962.32426,113F,"Agriculture, forestry, fishing, and hunting",-0.17540,0.14283,0.07702,0.15538,0.24428,0.22585,corporate,0.41382,2021
6,"Performing arts, spectator sports, museums, and related activities",79922779340.27766,711A,"Arts, entertainment, and recreation",-0.31305,0.05877,-0.01727,0.05646,0.17017,0.14677,corporate,0.73011,2021
7,"Amusements, gambling, and recreation industries",103100531850.63574,7130,"Arts, entertainment, and recreation",-0.23050,0.10243,0.03352,0.11578,0.20867,0.18937,corporate,0.63013,2021
8,Construction,167674309864.62842,2300,Construction,-0.18372,0.13260,0.06694,0.14940,0.23526,0.21740,corporate,0.49000,2021
9,Educational services,321852356259.17963,6100,Educational services,-0.14363,0.16772,0.10281,0.17820,0.26623,0.24748,corporate,0.43609,2021
10,Credit intermediation and related activities,742471497270.98792,5220,Finance and insurance,-0.21979,0.10879,0.04045,0.12347,0.21427,0.19518,corporate,0.67760,2021
11,"Securities, commodity contracts, and investments",117288646634.00693,5230,Finance and insurance,-0.13515,0.17155,0.10786,0.18429,0.26960,0.25172,corporate,0.34638,2021
12,Insurance carriers and related activities,242704259872.50821,5240,Finance and insurance,-0.18293,0.13844,0.07168,0.14996,0.24041,0.22137,corporate,0.55133,2021
13,"Funds, trusts, and other financial vehicles",34266597922.83983,5250,Finance and insurance,-0.08287,0.20593,0.14554,0.22186,0.29991,0.28332,corporate,0.25725,2021
14,Ambulatory health care services,187676386627.50763,6210,Health care and social assistance,-0.19107,0.12977,0.06293,0.14411,0.23277,0.21404,corporate,0.60069,2021
15,Hospitals,476870658866.97443,622H,Health care and social assistance,-0.15777,0.15638,0.09090,0.16804,0.25622,0.23750,corporate,0.47882,2021
16,Nursing and residential care facilities,45367688456.41498,6230,Health care and social assistance,-0.15731,0.15480,0.08964,0.16837,0.25483,0.23644,corporate,0.51025,2021
17,Social assistance,32821172821.90539,6240,Health care and social assistance,-0.15999,0.15187,0.08683,0.16645,0.25225,0.23408,corporate,0.50703,2021
18,Publishing industries (including software),205722166039.38168,5110,Information,-0.36322,0.03565,-0.04497,0.02041,0.14979,0.12353,corporate,0.73766,2021
19,Motion picture and sound recording industries,275276728520.28156,5120,Information,-0.47180,-0.03393,-0.12178,-0.05762,0.08844,0.05911,corporate,0.90177,2021
20,Broadcasting and telecommunications,1290508619097.38721,5130,Information,-0.34966,0.02278,-0.05380,0.03015,0.13844,0.11613,corporate,0.90475,2021
21,Information and data processing services,118194411065.82817,5140,Information,-0.41631,0.00028,-0.08373,-0.01774,0.11861,0.09102,corporate,0.86760,2021
22,Management of companies and enterprises,424413204161.25208,5500,Management of companies and enterprises,-0.15346,0.16096,0.09575,0.17114,0.26027,0.24156,corporate,0.41492,2021
23,"Food, beverage, and tobacco products",382744557829.31506,311A,Manufacturing,-0.17092,0.13957,0.07488,0.15860,0.24141,0.22406,corporate,0.51885,2021
24,Textile mills and textile product mills,39763433351.20227,313T,Manufacturing,-0.14859,0.15397,0.09069,0.17464,0.25410,0.23732,corporate,0.51632,2021
25,Apparel and leather and allied products,23802489966.32124,315A,Manufacturing,-0.10377,0.18353,0.12332,0.20685,0.28016,0.26469,corporate,0.34188,2021
26,Wood products,45996624948.83839,3210,Manufacturing,-0.14065,0.16100,0.09806,0.18034,0.26030,0.24350,corporate,0.43442,2021
27,Paper products,129541595783.22841,3220,Manufacturing,-0.22329,0.10581,0.03753,0.12096,0.21164,0.19274,corporate,0.64385,2021
28,Printing and related support activities,49933189821.24265,3230,Manufacturing,-0.23260,0.10056,0.03150,0.11427,0.20702,0.18767,corporate,0.67485,2021
